car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price,age_squared,km_per_year,power_per_cc,mileage_per_hp,age_km_interaction,engine_power_interaction,engine_category,brand_group,brand_model
Ford Figo,Ford,Figo,10,55500,Dealer,Diesel,Manual,20.0,1399,68.05,5,275000,100,5045.454545454545,0.048607142857142856,0.28964518464880523,555000,95201.95,Small,Mass Market,Ford_Figo
Mercedes-Benz GL-Class,Mercedes-Benz,GL-Class,4,38000,Dealer,Diesel,Automatic,17.9,2143,170.0,5,3675000,16,7600.0,0.07929104477611941,0.10467836257309941,152000,364310.0,Mid,Luxury,Mercedes-Benz_GL-Class
Honda City,Honda,City,18,177000,Dealer,Petrol,Manual,11.7,1343,100.0,5,100000,324,9315.78947368421,0.0744047619047619,0.11584158415841583,3186000,134300.0,Small,Mass Market,Honda_City
Toyota Fortuner,Toyota,Fortuner,7,67400,Dealer,Diesel,Automatic,12.55,2982,168.5,7,1795000,49,8425.0,0.05648675829701642,0.07404129793510325,471800,502467.0,Large,Mass Market,Toyota_Fortuner
Skoda Rapid,Skoda,Rapid,7,29000,Dealer,Petrol,Manual,15.0,1598,105.0,5,490000,49,3625.0,0.06566604127579738,0.14150943396226415,203000,167790.0,Mid,Mass Market,Skoda_Rapid
Maruti Ciaz,Maruti,Ciaz,5,94400,Individual,Diesel,Manual,28.09,1248,88.5,5,595000,25,15733.333333333334,0.07085668534827862,0.31385474860335194,472000,110448.0,Small,Mass Market,Maruti_Ciaz
Datsun RediGO,Datsun,RediGO,3,15000,Individual,Petrol,Manual,22.7,799,53.64,5,340000,9,3750.0,0.06705,0.41544655929721813,45000,42858.36,Small,Mass Market,Datsun_RediGO
Volkswagen Polo,Volkswagen,Polo,5,30000,Dealer,Petrol,Manual,16.2,1199,74.0,5,530000,25,5000.0,0.06166666666666667,0.216,150000,88726.0,Small,Mass Market,Volkswagen_Polo
Hyundai Grand,Hyundai,Grand,3,15914,Dealer,Petrol,Manual,18.9,1197,81.86,5,510000,9,3978.5,0.068330550918197,0.2280955829109341,47742,97986.42,Small,Mass Market,Hyundai_Grand
Mahindra XUV500,Mahindra,XUV500,6,72000,Dealer,Diesel,Manual,15.1,2179,140.0,7,880000,36,10285.714285714286,0.06422018348623854,0.10709219858156029,432000,305060.0,Mid,Mass Market,Mahindra_XUV500
Maruti Eeco,Maruti,Eeco,6,60200,Dealer,CNG,Manual,21.94,1196,61.7,5,385000,36,8600.0,0.051545530492898915,0.3499202551834131,361200,73793.2,Small,Mass Market,Maruti_Eeco
Hyundai Verna,Hyundai,Verna,9,32472,Dealer,Petrol,Manual,17.01,1591,121.3,5,448000,81,3247.2,0.07619346733668342,0.13908421913327884,292248,192988.3,Mid,Mass Market,Hyundai_Verna
Honda City,Honda,City,5,57116,Dealer,Petrol,Manual,17.4,1497,117.3,5,665000,25,9519.333333333334,0.07830440587449933,0.147083685545224,285580,175598.1,Small,Mass Market,Honda_City
Jeep Compass,Jeep,Compass,3,20000,Dealer,Diesel,Manual,17.1,1956,170.0,5,800000,9,5000.0,0.08686765457332651,0.1,60000,332520.0,Mid,Mass Market,Jeep_Compass
Hyundai Venue,Hyundai,Venue,1,3200,Dealer,Petrol,Automatic,18.15,998,118.35,5,1240000,1,1600.0,0.11846846846846847,0.15207373271889402,3200,118113.29999999999,Small,Mass Market,Hyundai_Venue
Volkswagen Polo,Volkswagen,Polo,3,15000,Individual,Petrol,Manual,18.78,999,75.0,5,595000,9,3750.0,0.075,0.24710526315789474,45000,74925.0,Small,Mass Market,Volkswagen_Polo
Hyundai Venue,Hyundai,Venue,2,16000,Dealer,Petrol,Manual,18.27,998,118.35,5,975000,4,5333.333333333333,0.11846846846846847,0.1530791788856305,32000,118113.29999999999,Small,Mass Market,Hyundai_Venue
Hyundai Elantra,Hyundai,Elantra,8,80000,Dealer,Diesel,Manual,22.7,1582,126.24,5,700000,64,8888.888888888889,0.07974731522425774,0.17840301791889343,640000,199711.68,Mid,Mass Market,Hyundai_Elantra
Toyota Innova,Toyota,Innova,13,125000,Individual,Diesel,Manual,12.8,2494,102.0,8,450000,169,8928.57142857143,0.04088176352705411,0.12427184466019418,1625000,254388.0,Mid,Mass Market,Toyota_Innova
Hyundai Verna,Hyundai,Verna,2,6500,Individual,Petrol,Manual,17.1,1591,121.3,5,1035000,4,2166.6666666666665,0.07619346733668342,0.13982011447260836,13000,192988.3,Mid,Mass Market,Hyundai_Verna
Hyundai i20,Hyundai,i20,8,7268,Trustmark Dealer,Petrol,Manual,18.5,1197,82.85,5,445000,64,807.5555555555555,0.06915692821368948,0.2206320810971974,58144,99171.45,Small,Mass Market,Hyundai_i20
Maruti Ertiga,Maruti,Ertiga,8,41000,Dealer,Petrol,Manual,16.02,1373,93.7,7,585000,64,4555.555555555556,0.06819505094614266,0.16916578669482576,328000,128650.1,Small,Mass Market,Maruti_Ertiga
Mercedes-Benz S-Class,Mercedes-Benz,S-Class,11,50312,Dealer,Diesel,Automatic,13.5,2987,282.0,5,1455000,121,4192.666666666667,0.09437751004016064,0.04770318021201413,553432,842334.0,Large,Luxury,Mercedes-Benz_S-Class
Renault KWID,Renault,KWID,5,37250,Dealer,Petrol,Manual,25.17,799,53.3,5,325000,25,6208.333333333333,0.06662499999999999,0.46353591160221,186250,42586.7,Small,Mass Market,Renault_KWID
Honda Civic,Honda,Civic,13,61000,Dealer,Petrol,Manual,13.5,1799,130.0,5,245000,169,4357.142857142857,0.07222222222222222,0.10305343511450382,793000,233870.0,Mid,Mass Market,Honda_Civic
Toyota Camry,Toyota,Camry,6,49500,Dealer,Electric,Automatic,19.16,2494,157.7,5,1850000,36,7071.428571428572,0.0632064128256513,0.1207309388783869,297000,393303.8,Mid,Mass Market,Toyota_Camry
Maruti Ertiga,Maruti,Ertiga,6,76000,Dealer,Diesel,Manual,24.52,1248,88.5,7,770000,36,10857.142857142857,0.07085668534827862,0.2739664804469274,456000,110448.0,Small,Mass Market,Maruti_Ertiga
Hyundai Grand,Hyundai,Grand,5,21000,Dealer,Petrol,Manual,18.9,1197,82.0,5,480000,25,3500.0,0.06844741235392321,0.22771084337349395,105000,98154.0,Small,Mass Market,Hyundai_Grand
Volkswagen Polo,Volkswagen,Polo,8,60000,Individual,Petrol,Manual,16.47,1198,73.9,5,350000,64,6666.666666666667,0.06163469557964971,0.21989319092122828,480000,88532.20000000001,Small,Mass Market,Volkswagen_Polo
Hyundai Verna,Hyundai,Verna,2,23150,Dealer,Diesel,Automatic,19.08,1582,126.2,5,1385000,4,7716.666666666667,0.07972204674668351,0.15,46300,199648.4,Mid,Mass Market,Hyundai_Verna
BMW 5,BMW,5,7,41265,Dealer,Diesel,Automatic,18.12,1995,190.0,5,2799000,49,5158.125,0.09519038076152304,0.09486910994764398,288855,379050.0,Mid,Luxury,BMW_5
Honda City,Honda,City,6,66996,Dealer,Petrol,Manual,17.4,1497,117.6,5,675000,36,9570.857142857143,0.07850467289719626,0.1467116357504216,401976,176047.19999999998,Small,Mass Market,Honda_City
Maruti Alto,Maruti,Alto,5,13000,Individual,Petrol,Manual,23.95,998,67.05,5,299000,25,2166.6666666666665,0.06711711711711711,0.35194709772226307,65000,66915.9,Small,Mass Market,Maruti_Alto
Maruti Baleno,Maruti,Baleno,4,17865,Dealer,Petrol,Manual,21.4,1197,83.1,5,677000,16,3573.0,0.06936560934891485,0.2544589774078478,71460,99470.7,Small,Mass Market,Maruti_Baleno
Maruti Vitara,Maruti,Vitara,4,67000,Dealer,Diesel,Manual,24.3,1248,88.5,5,800000,16,13400.0,0.07085668534827862,0.27150837988826815,268000,110448.0,Small,Mass Market,Maruti_Vitara
Maruti Ertiga,Maruti,Ertiga,4,65000,Dealer,Diesel,Manual,24.52,1248,88.5,7,1000000,16,13000.0,0.07085668534827862,0.2739664804469274,260000,110448.0,Small,Mass Market,Maruti_Ertiga
Tata Nexon,Tata,Nexon,3,12000,Dealer,Diesel,Manual,21.5,1497,108.5,5,885000,9,3000.0,0.07242990654205607,0.1963470319634703,36000,162424.5,Small,Mass Market,Tata_Nexon
Renault Duster,Renault,Duster,7,67647,Dealer,Diesel,Manual,19.87,1461,83.8,5,575000,49,8455.875,0.0573187414500684,0.23431603773584908,473529,122431.8,Small,Mass Market,Renault_Duster
Hyundai Grand,Hyundai,Grand,4,36643,Dealer,Diesel,Manual,24.0,1186,73.97,5,555000,16,7328.6,0.0623167649536647,0.3201280512204882,146572,87728.42,Small,Mass Market,Hyundai_Grand
Maruti Wagon R,Maruti,Wagon R,2,7800,Dealer,Petrol,Manual,21.5,1197,81.8,5,545000,4,2600.0,0.0682804674457429,0.25966183574879226,15600,97914.59999999999,Small,Mass Market,Maruti_Wagon R
Hyundai i20,Hyundai,i20,8,70000,Dealer,Petrol,Manual,18.5,1197,80.0,5,410000,64,7777.777777777777,0.0667779632721202,0.22839506172839505,560000,95760.0,Small,Mass Market,Hyundai_i20
Honda City,Honda,City,7,117000,Dealer,Diesel,Manual,25.1,1498,98.6,5,691000,49,14625.0,0.0657771847898599,0.2520080321285141,819000,147702.8,Small,Mass Market,Honda_City
Honda City,Honda,City,7,39000,Dealer,Diesel,Manual,25.1,1498,98.6,5,725000,49,4875.0,0.0657771847898599,0.2520080321285141,273000,147702.8,Small,Mass Market,Honda_City
Maruti Baleno,Maruti,Baleno,3,9600,Dealer,Petrol,Automatic,19.56,1197,81.8,5,825000,9,2400.0,0.0682804674457429,0.23623188405797102,28800,97914.59999999999,Small,Mass Market,Maruti_Baleno
Mahindra XUV500,Mahindra,XUV500,6,76000,Dealer,Diesel,Manual,16.0,1997,140.0,7,776000,36,10857.142857142857,0.07007007007007007,0.11347517730496454,456000,279580.0,Mid,Mass Market,Mahindra_XUV500
Maruti Swift Dzire,Maruti,Swift Dzire,4,81000,Dealer,Petrol,Manual,20.85,1197,83.14,5,625000,16,16200.0,0.06939899833055092,0.24780128357499406,324000,99518.58,Small,Mass Market,Maruti_Swift Dzire
Maruti Swift Dzire,Maruti,Swift Dzire,10,35000,Dealer,Petrol,Manual,17.5,1298,85.8,5,350000,100,3181.818181818182,0.06605080831408776,0.20161290322580647,350000,111368.4,Small,Mass Market,Maruti_Swift Dzire
Maruti Ciaz,Maruti,Ciaz,5,49411,Individual,Diesel,Manual,28.09,1248,88.5,5,731000,25,8235.166666666666,0.07085668534827862,0.31385474860335194,247055,110448.0,Small,Mass Market,Maruti_Ciaz
Hyundai Santro,Hyundai,Santro,2,20660,Dealer,CNG,Manual,30.48,1086,58.0,5,565000,4,6886.666666666667,0.05335786568537258,0.5166101694915254,41320,62988.0,Small,Mass Market,Hyundai_Santro
Volkswagen Polo,Volkswagen,Polo,7,51200,Dealer,Diesel,Manual,22.07,1199,73.9,5,535000,49,6400.0,0.06158333333333334,0.2946595460614152,358400,88606.1,Small,Mass Market,Volkswagen_Polo
Maruti Alto,Maruti,Alto,5,23774,Dealer,Petrol,Manual,23.95,998,67.05,5,335000,25,3962.3333333333335,0.06711711711711711,0.35194709772226307,118870,66915.9,Small,Mass Market,Maruti_Alto
Hyundai Verna,Hyundai,Verna,8,51000,Dealer,Diesel,Automatic,22.32,1582,126.32,5,550000,64,5666.666666666667,0.07979785217940619,0.175306314797361,408000,199838.24,Mid,Mass Market,Hyundai_Verna
Maruti Ciaz,Maruti,Ciaz,5,86000,Dealer,Diesel,Manual,28.09,1248,88.5,5,680000,25,14333.333333333334,0.07085668534827862,0.31385474860335194,430000,110448.0,Small,Mass Market,Maruti_Ciaz
Maruti Alto,Maruti,Alto,10,38643,Dealer,Petrol,Manual,20.92,998,67.1,5,180000,100,3513.0,0.06716716716716715,0.3071953010279002,386430,66965.79999999999,Small,Mass Market,Maruti_Alto
Mahindra KUV,Mahindra,KUV,5,42800,Dealer,Diesel,Manual,25.32,1198,77.0,6,485000,25,7133.333333333333,0.06422018348623854,0.32461538461538464,214000,92246.0,Small,Mass Market,Mahindra_KUV
Maruti Baleno,Maruti,Baleno,4,26251,Dealer,Petrol,Manual,21.4,1197,83.1,5,662000,16,5250.2,0.06936560934891485,0.2544589774078478,105004,99470.7,Small,Mass Market,Maruti_Baleno
Mahindra KUV,Mahindra,KUV,5,11800,Dealer,Diesel,Manual,25.32,1198,77.0,5,450000,25,1966.6666666666667,0.06422018348623854,0.32461538461538464,59000,92246.0,Small,Mass Market,Mahindra_KUV
Maruti Wagon R,Maruti,Wagon R,12,70000,Individual,Petrol,Manual,18.9,1061,67.0,5,150000,144,5384.615384615385,0.06308851224105462,0.2779411764705882,840000,71087.0,Small,Mass Market,Maruti_Wagon R
Hyundai Verna,Hyundai,Verna,2,22000,Dealer,Diesel,Automatic,22.0,1582,126.2,5,1375000,4,7333.333333333333,0.07972204674668351,0.17295597484276728,44000,199648.4,Mid,Mass Market,Hyundai_Verna
Tata Nexon,Tata,Nexon,3,21000,Dealer,Diesel,Automatic,21.5,1497,108.5,5,960000,9,5250.0,0.07242990654205607,0.1963470319634703,63000,162424.5,Small,Mass Market,Tata_Nexon
BMW 5,BMW,5,2,6000,Dealer,Diesel,Automatic,18.59,2993,261.49,5,5700000,4,2000.0,0.08733800935203741,0.0708217455903082,12000,782639.5700000001,Large,Luxury,BMW_5
Maruti Alto,Maruti,Alto,10,53000,Dealer,Petrol,Manual,23.95,998,67.05,5,235000,100,4818.181818181818,0.06711711711711711,0.35194709772226307,530000,66915.9,Small,Mass Market,Maruti_Alto
Ford Figo,Ford,Figo,9,35000,Dealer,Petrol,Manual,15.6,1196,70.0,5,245000,81,3500.0,0.05847953216374269,0.21971830985915491,315000,83720.0,Small,Mass Market,Ford_Figo
Skoda Superb,Skoda,Superb,9,97000,Dealer,Diesel,Automatic,17.2,1968,138.1,5,699000,81,9700.0,0.07013712544438801,0.12365204888569374,873000,271780.8,Mid,Mass Market,Skoda_Superb
Mahindra XUV500,Mahindra,XUV500,6,43000,Dealer,Diesel,Manual,15.1,2179,140.0,7,849000,36,6142.857142857143,0.06422018348623854,0.10709219858156029,258000,305060.0,Mid,Mass Market,Mahindra_XUV500
Maruti Alto,Maruti,Alto,9,120000,Individual,Petrol,Manual,22.74,796,47.3,5,140000,81,12000.0,0.059347553324968626,0.47080745341614905,1080000,37650.799999999996,Small,Mass Market,Maruti_Alto
Toyota Innova,Toyota,Innova,5,62000,Dealer,Diesel,Automatic,11.36,2755,171.5,8,1600000,25,10333.333333333334,0.06222786647314949,0.06585507246376811,310000,472482.5,Large,Mass Market,Toyota_Innova
Renault Duster,Renault,Duster,8,39000,Dealer,Diesel,Manual,19.01,1461,108.45,5,450000,64,4333.333333333333,0.07417920656634747,0.17368661489264506,312000,158445.45,Small,Mass Market,Renault_Duster
Volkswagen Vento,Volkswagen,Vento,6,100000,Individual,Diesel,Manual,20.34,1498,103.2,5,590000,36,14285.714285714286,0.06884589726484323,0.19520153550863723,600000,154593.6,Small,Mass Market,Volkswagen_Vento
Maruti Swift Dzire,Maruti,Swift Dzire,3,30000,Individual,Diesel,Manual,28.4,1248,74.02,5,775000,9,7500.0,0.05926341072858286,0.3785657158091176,90000,92376.95999999999,Small,Mass Market,Maruti_Swift Dzire
Hyundai i20,Hyundai,i20,11,100000,Individual,Petrol,Manual,17.0,1197,80.0,5,310000,121,8333.333333333334,0.0667779632721202,0.20987654320987653,1100000,95760.0,Small,Mass Market,Hyundai_i20
Hyundai Verna,Hyundai,Verna,10,54000,Dealer,Diesel,Manual,22.32,1582,126.32,5,435000,100,4909.090909090909,0.07979785217940619,0.175306314797361,540000,199838.24,Mid,Mass Market,Hyundai_Verna
Maruti Wagon R,Maruti,Wagon R,4,18000,Dealer,Petrol,Automatic,20.51,998,67.0,5,475000,16,3600.0,0.06706706706706707,0.30161764705882355,72000,66866.0,Small,Mass Market,Maruti_Wagon R
Maruti Vitara,Maruti,Vitara,5,100000,Individual,Diesel,Manual,24.3,1248,88.5,5,800000,25,16666.666666666668,0.07085668534827862,0.27150837988826815,500000,110448.0,Small,Mass Market,Maruti_Vitara
Mahindra Scorpio,Mahindra,Scorpio,7,60000,Individual,Diesel,Manual,15.4,2179,120.0,7,851000,49,7500.0,0.05504587155963303,0.1272727272727273,420000,261480.0,Mid,Mass Market,Mahindra_Scorpio
Honda Civic,Honda,Civic,2,12000,Dealer,Petrol,Automatic,16.5,1799,139.46,5,2050000,4,4000.0,0.07747777777777778,0.11747116616830414,24000,250888.54,Mid,Mass Market,Honda_Civic
Hyundai Grand,Hyundai,Grand,6,75000,Dealer,Petrol,Manual,18.9,1197,81.86,5,415000,36,10714.285714285714,0.068330550918197,0.2280955829109341,450000,97986.42,Small,Mass Market,Hyundai_Grand
Hyundai Verna,Hyundai,Verna,4,49000,Dealer,Diesel,Automatic,22.0,1582,126.2,5,1120000,16,9800.0,0.07972204674668351,0.17295597484276728,196000,199648.4,Mid,Mass Market,Hyundai_Verna
Maruti Wagon R,Maruti,Wagon R,10,120000,Individual,CNG,Manual,26.2,998,58.2,5,200000,100,10909.09090909091,0.05825825825825826,0.44256756756756754,1200000,58083.600000000006,Small,Mass Market,Maruti_Wagon R
Hyundai i10,Hyundai,i10,7,73000,Dealer,Petrol,Manual,20.36,1197,78.9,5,345000,49,9125.0,0.06585976627712856,0.2548185231539424,511000,94443.3,Small,Mass Market,Hyundai_i10
Honda Jazz,Honda,Jazz,3,15000,Dealer,Petrol,Automatic,19.0,1199,88.7,5,725000,9,3750.0,0.07391666666666667,0.21181716833890746,45000,106351.3,Small,Mass Market,Honda_Jazz
Honda Amaze,Honda,Amaze,8,29500,Dealer,Diesel,Manual,25.8,1498,98.6,5,450000,64,3277.777777777778,0.0657771847898599,0.25903614457831325,236000,147702.8,Small,Mass Market,Honda_Amaze
Hyundai Creta,Hyundai,Creta,5,25451,Trustmark Dealer,Petrol,Automatic,13.0,1591,121.3,5,1039000,25,4241.833333333333,0.07619346733668342,0.10629599345870809,127255,192988.3,Mid,Mass Market,Hyundai_Creta
Honda Amaze,Honda,Amaze,8,45000,Dealer,Petrol,Manual,18.0,1198,86.7,5,350000,64,5000.0,0.07231025854879067,0.20524515393386544,360000,103866.6,Small,Mass Market,Honda_Amaze
Skoda Superb,Skoda,Superb,10,61000,Dealer,Petrol,Manual,13.14,1798,160.0,5,375000,100,5545.454545454545,0.08893829905503058,0.08161490683229813,610000,287680.0,Mid,Mass Market,Skoda_Superb
Maruti Alto,Maruti,Alto,5,28000,Dealer,Petrol,Automatic,23.95,998,67.1,5,350000,25,4666.666666666667,0.06716716716716715,0.35168869309838474,140000,66965.79999999999,Small,Mass Market,Maruti_Alto
Honda Jazz,Honda,Jazz,6,15000,Dealer,Petrol,Manual,18.7,1199,88.7,5,561000,36,2142.8571428571427,0.07391666666666667,0.2084726867335563,90000,106351.3,Small,Mass Market,Honda_Jazz
Maruti Alto,Maruti,Alto,5,26000,Dealer,CNG,Manual,30.46,796,47.3,5,280000,25,4333.333333333333,0.059347553324968626,0.6306418219461698,130000,37650.799999999996,Small,Mass Market,Maruti_Alto
Toyota Innova,Toyota,Innova,3,52000,Dealer,Diesel,Manual,13.68,2393,147.8,7,1650000,9,13000.0,0.061737677527151216,0.09193548387096773,156000,353685.4,Mid,Mass Market,Toyota_Innova
Maruti Celerio,Maruti,Celerio,5,43782,Dealer,Petrol,Manual,23.1,998,67.04,5,425000,25,7297.0,0.06710710710710711,0.3395061728395062,218910,66905.92000000001,Small,Mass Market,Maruti_Celerio
Toyota Innova,Toyota,Innova,4,80000,Dealer,Diesel,Automatic,11.36,2755,171.5,7,1825000,16,16000.0,0.06222786647314949,0.06585507246376811,320000,472482.5,Large,Mass Market,Toyota_Innova
Maruti Ertiga,Maruti,Ertiga,5,56000,Dealer,Diesel,Manual,20.77,1248,88.8,7,825000,25,9333.333333333334,0.0710968775020016,0.23129175946547884,280000,110822.4,Small,Mass Market,Maruti_Ertiga
Maruti Wagon R,Maruti,Wagon R,4,15000,Individual,Petrol,Automatic,20.51,998,67.0,5,505000,16,3000.0,0.06706706706706707,0.30161764705882355,60000,66866.0,Small,Mass Market,Maruti_Wagon R
Honda City,Honda,City,14,85000,Dealer,Petrol,Manual,17.7,1497,78.0,5,175000,196,5666.666666666667,0.0520694259012016,0.2240506329113924,1190000,116766.0,Small,Mass Market,Honda_City
Maruti Ertiga,Maruti,Ertiga,4,60000,Dealer,Diesel,Manual,25.47,1248,88.5,7,855000,16,12000.0,0.07085668534827862,0.28458100558659216,240000,110448.0,Small,Mass Market,Maruti_Ertiga
Hyundai Verna,Hyundai,Verna,5,63000,Dealer,Diesel,Automatic,21.3,1493,113.42,5,751000,25,10500.0,0.07591700133868809,0.18615626638699528,315000,169336.06,Small,Mass Market,Hyundai_Verna
Toyota Camry,Toyota,Camry,5,119851,Dealer,Petrol,Automatic,12.98,2494,178.4,5,1250000,25,19975.166666666668,0.07150300601202406,0.07235228539576366,599255,444929.60000000003,Mid,Mass Market,Toyota_Camry
Maruti Baleno,Maruti,Baleno,3,30000,Individual,Petrol,Manual,21.4,1197,83.1,5,490000,9,7500.0,0.06936560934891485,0.2544589774078478,90000,99470.7,Small,Mass Market,Maruti_Baleno
Honda Jazz,Honda,Jazz,6,82503,Dealer,Diesel,Manual,27.3,1498,98.6,5,611000,36,11786.142857142857,0.0657771847898599,0.2740963855421687,495018,147702.8,Small,Mass Market,Honda_Jazz
Ford Figo,Ford,Figo,8,34000,Dealer,Petrol,Manual,15.6,1196,70.0,5,295000,64,3777.777777777778,0.05847953216374269,0.21971830985915491,272000,83720.0,Small,Mass Market,Ford_Figo
Honda Jazz,Honda,Jazz,5,39000,Dealer,Diesel,Manual,27.3,1498,98.6,5,485000,25,6500.0,0.0657771847898599,0.2740963855421687,195000,147702.8,Small,Mass Market,Honda_Jazz
Maruti Swift,Maruti,Swift,3,54000,Individual,Diesel,Manual,28.4,1248,74.0,5,685000,9,13500.0,0.059247397918334666,0.37866666666666665,162000,92352.0,Small,Mass Market,Maruti_Swift
Toyota Innova,Toyota,Innova,3,42000,Dealer,Diesel,Automatic,13.68,2393,147.51,7,2090000,9,10500.0,0.06161654135338346,0.09211500909029695,126000,352991.43,Mid,Mass Market,Toyota_Innova
Volkswagen Vento,Volkswagen,Vento,7,45260,Dealer,Petrol,Automatic,18.19,1197,103.2,5,499000,49,5657.5,0.08614357262103506,0.17456813819577735,316820,123530.40000000001,Small,Mass Market,Volkswagen_Vento
Maruti Vitara,Maruti,Vitara,5,110000,Dealer,Diesel,Manual,24.3,1248,88.5,5,710000,25,18333.333333333332,0.07085668534827862,0.27150837988826815,550000,110448.0,Small,Mass Market,Maruti_Vitara
Renault Duster,Renault,Duster,7,79600,Dealer,Diesel,Manual,20.45,1461,83.8,5,550000,49,9950.0,0.0573187414500684,0.2411556603773585,557200,122431.8,Small,Mass Market,Renault_Duster
Maruti Ertiga,Maruti,Ertiga,6,31000,Dealer,CNG,Manual,22.8,1373,80.9,7,685000,36,4428.571428571428,0.058879184861717615,0.2783882783882784,186000,111075.70000000001,Small,Mass Market,Maruti_Ertiga
Maruti Ciaz,Maruti,Ciaz,4,27001,Dealer,Petrol,Automatic,19.12,1373,91.1,5,845000,16,5400.2,0.0663027656477438,0.20760043431053204,108004,125080.29999999999,Small,Mass Market,Maruti_Ciaz
Honda City,Honda,City,12,67500,Dealer,Petrol,Automatic,16.8,1497,118.0,5,290000,144,5192.307692307692,0.0787716955941255,0.1411764705882353,810000,176646.0,Small,Mass Market,Honda_City
Volkswagen Polo,Volkswagen,Polo,5,22500,Dealer,Petrol,Automatic,17.21,1197,103.5,5,680000,25,3750.0,0.08639398998330551,0.16468899521531102,112500,123889.5,Small,Mass Market,Volkswagen_Polo
Hyundai Verna,Hyundai,Verna,4,50000,Individual,Diesel,Manual,23.9,1582,126.2,5,1100000,16,10000.0,0.07972204674668351,0.18789308176100628,200000,199648.4,Mid,Mass Market,Hyundai_Verna
Maruti Ignis,Maruti,Ignis,4,80000,Individual,Diesel,Manual,26.8,1248,74.0,5,480000,16,16000.0,0.059247397918334666,0.35733333333333334,320000,92352.0,Small,Mass Market,Maruti_Ignis
Renault Duster,Renault,Duster,5,50000,Individual,Diesel,Manual,19.87,1461,83.8,5,850000,25,8333.333333333334,0.0573187414500684,0.23431603773584908,250000,122431.8,Small,Mass Market,Renault_Duster
Maruti Wagon R,Maruti,Wagon R,7,34000,Dealer,Petrol,Manual,20.51,998,67.04,5,325000,49,4250.0,0.06710710710710711,0.301440329218107,238000,66905.92000000001,Small,Mass Market,Maruti_Wagon R
Toyota Innova,Toyota,Innova,7,79000,Dealer,Diesel,Manual,12.99,2494,100.6,7,1140000,49,9875.0,0.04032064128256513,0.12785433070866142,553000,250896.4,Mid,Mass Market,Toyota_Innova
Hyundai Grand,Hyundai,Grand,5,47500,Dealer,Petrol,Manual,18.9,1197,82.0,5,450000,25,7916.666666666667,0.06844741235392321,0.22771084337349395,237500,98154.0,Small,Mass Market,Hyundai_Grand
Hyundai i20,Hyundai,i20,3,25000,Individual,Diesel,Manual,21.19,1396,88.73,5,850000,9,6250.0,0.06351467430207589,0.23615290315390616,75000,123867.08,Small,Mass Market,Hyundai_i20
Maruti Alto,Maruti,Alto,8,60000,Individual,Petrol,Manual,22.74,796,47.3,5,180000,64,6666.666666666667,0.059347553324968626,0.47080745341614905,480000,37650.799999999996,Small,Mass Market,Maruti_Alto
Mahindra Bolero,Mahindra,Bolero,10,31000,Dealer,Diesel,Manual,16.5,1493,70.0,7,448000,100,2818.181818181818,0.04685408299866131,0.2323943661971831,310000,104510.0,Small,Mass Market,Mahindra_Bolero
Maruti Swift Dzire,Maruti,Swift Dzire,7,90000,Dealer,Diesel,Manual,23.4,1248,74.0,5,580000,49,11250.0,0.059247397918334666,0.312,630000,92352.0,Small,Mass Market,Maruti_Swift Dzire
Maruti Wagon R,Maruti,Wagon R,6,48000,Dealer,CNG,Manual,26.6,998,58.16,5,325000,36,6857.142857142857,0.058218218218218216,0.44962812711291417,288000,58043.67999999999,Small,Mass Market,Maruti_Wagon R
BMW X1,BMW,X1,5,14000,Dealer,Diesel,Automatic,20.68,1995,188.0,5,2850000,25,2333.3333333333335,0.09418837675350701,0.10941798941798941,70000,375060.0,Mid,Luxury,BMW_X1
Mahindra XUV500,Mahindra,XUV500,3,60000,Individual,Diesel,Manual,16.0,1997,140.0,7,1000000,9,15000.0,0.07007007007007007,0.11347517730496454,180000,279580.0,Mid,Mass Market,Mahindra_XUV500
Maruti Alto,Maruti,Alto,11,69000,Dealer,Petrol,Manual,20.92,998,67.1,5,150000,121,5750.0,0.06716716716716715,0.3071953010279002,759000,66965.79999999999,Small,Mass Market,Maruti_Alto
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,2,7000,Dealer,Diesel,Automatic,19.27,2143,170.0,5,3800000,4,2333.3333333333335,0.07929104477611941,0.11269005847953216,14000,364310.0,Mid,Luxury,Mercedes-Benz_C-Class
BMW 5,BMW,5,5,30000,Dealer,Petrol,Automatic,14.04,1997,184.0,5,3000000,25,5000.0,0.0920920920920921,0.07589189189189188,150000,367448.0,Mid,Luxury,BMW_5
Maruti Ertiga,Maruti,Ertiga,7,68880,Dealer,Diesel,Manual,20.77,1248,88.76,7,645000,49,8610.0,0.07106485188150521,0.23139483065953653,482160,110772.48000000001,Small,Mass Market,Maruti_Ertiga
Mahindra Bolero,Mahindra,Bolero,3,43214,Dealer,Diesel,Manual,15.96,2523,62.1,7,755000,9,10803.5,0.02460380348652932,0.25293185419968306,129642,156678.30000000002,Large,Mass Market,Mahindra_Bolero
Maruti Ciaz,Maruti,Ciaz,5,59000,Dealer,Petrol,Automatic,19.12,1373,91.1,5,690000,25,9833.333333333334,0.0663027656477438,0.20760043431053204,295000,125080.29999999999,Small,Mass Market,Maruti_Ciaz
